location,city,country,num_records,parameter,value,latitude,longitude
Punjabi Bagh,Delhi,IN,408,so2,7.308823529411764,28.6683,77.1167
Punjabi Bagh,Delhi,IN,575,pm25,60.641739130434786,28.6683,77.1167
Punjabi Bagh,Delhi,IN,642,pm10,114.29595015576326,28.6683,77.1167
Punjabi Bagh,Delhi,IN,591,o3,42.1072758037225,28.6683,77.1167
Punjabi Bagh,Delhi,IN,644,no2,50.709782608695654,28.6683,77.1167
Punjabi Bagh,Delhi,IN,606,co,1232.013201320132,28.6683,77.1167
Anand Vihar,Delhi,IN,455,co,886.8131868131869,28.6508,77.3152
RK Puram,Delhi,IN,686,o3,22.21588921282799,28.5648,77.1744
Mandir Marg,Delhi,IN,533,pm10,99.41651031894936,28.6341,77.2005
RK Puram,Delhi,IN,666,so2,5.7851351351351346,28.5648,77.1744
Mandir Marg,Delhi,IN,560,o3,18.718392857142856,28.6341,77.2005
RK Puram,Delhi,IN,676,no2,45.67973372781065,28.5648,77.1744
RK Puram,Delhi,IN,620,pm25,56.23870967741936,28.5648,77.1744
Mandir Marg,Delhi,IN,576,pm25,43.29861111111111,28.6341,77.2005
Mandir Marg,Delhi,IN,579,no2,33.93022452504319,28.6341,77.2005
Anand Vihar,Delhi,IN,499,no2,55.282164328657316,28.6508,77.3152
Anand Vihar,Delhi,IN,493,pm25,65.00811359026369,28.6508,77.3152
Anand Vihar,Delhi,IN,450,pm10,241.2311111111111,28.6508,77.3152
RK Puram,Delhi,IN,676,pm10,115.0991124260355,28.5648,77.1744
Anand Vihar,Delhi,IN,404,so2,22.918811881188116,28.6508,77.3152
Mandir Marg,Delhi,IN,603,co,659.5356550580431,28.6341,77.2005
RK Puram,Delhi,IN,627,co,2717.7033492822966,28.5648,77.1744
Anand Vihar,Delhi,IN,397,o3,32.53652392947103,28.6508,77.3152
Mandir Marg,Delhi,IN,469,so2,14.019189765458426,28.6341,77.2005
Beijing US Embassy,Beijing,CN,108,pm25,65.42592592592592,39.95,116.47
